ward,precinct,total,Casandra Lewis,Casandra Lewis Percent,Michael James Murphy,Michael James Murphy Percent,Deborah Mary Dooling,Deborah Mary Dooling Percent,Kathleen G. Kennedy,Kathleen G. Kennedy Percent,Christine Patricia Curran,Christine Patricia Curran Percent,precinct_id
1,1,71,13,18.31,19,26.76,7,9.86,24,33.8,8,11.27,01001
1,2,45,7,15.56,9,20.0,12,26.67,14,31.11,3,6.67,01002
1,3,40,8,20.0,9,22.5,6,15.0,13,32.5,4,10.0,01003
1,4,68,9,13.24,18,26.47,13,19.12,17,25.0,11,16.18,01004
1,5,57,10,17.54,19,33.33,7,12.28,18,31.58,3,5.26,01005
1,6,65,6,9.23,18,27.69,11,16.92,20,30.77,10,15.38,01006
1,7,69,16,23.19,23,33.33,9,13.04,17,24.64,4,5.8,01007
1,8,61,13,21.31,16,26.23,11,18.03,17,27.87,4,6.56,01008
1,9,95,19,20.0,30,31.58,15,15.79,22,23.16,9,9.47,01009
1,10,64,8,12.5,16,25.0,14,21.88,20,31.25,6,9.38,01010
1,11,40,9,22.5,7,17.5,8,20.0,14,35.0,2,5.0,01011
1,12,70,14,20.0,20,28.57,18,25.71,15,21.43,3,4.29,01012
1,13,93,20,21.51,25,26.88,11,11.83,29,31.18,8,8.6,01013
1,14,92,17,18.48,30,32.61,21,22.83,15,16.3,9,9.78,01014
1,15,70,28,40.0,16,22.86,7,10.0,7,10.0,12,17.14,01015
1,16,28,7,25.0,9,32.14,1,3.57,7,25.0,4,14.29,01016
1,17,49,8,16.33,10,20.41,7,14.29,17,34.69,7,14.29,01017
1,18,51,17,33.33,10,19.61,9,17.65,12,23.53,3,5.88,01018
1,19,87,11,12.64,33,37.93,15,17.24,19,21.84,9,10.34,01019
1,20,72,19,26.39,21,29.17,6,8.33,18,25.0,8,11.11,01020
1,21,65,17,26.15,13,20.0,16,24.62,14,21.54,5,7.69,01021
1,22,77,25,32.47,13,16.88,11,14.29,15,19.48,13,16.88,01022
1,23,43,5,11.63,12,27.91,4,9.3,15,34.88,7,16.28,01023
1,24,128,29,22.66,34,26.56,20,15.63,25,19.53,20,15.63,01024
1,25,60,16,26.67,19,31.67,5,8.33,11,18.33,9,15.0,01025
1,26,43,10,23.26,6,13.95,7,16.28,13,30.23,7,16.28,01026
1,27,48,13,27.08,14,29.17,8,16.67,8,16.67,5,10.42,01027
1,28,83,23,27.71,22,26.51,10,12.05,18,21.69,10,12.05,01028
1,29,69,17,24.64,21,30.43,11,15.94,15,21.74,5,7.25,01029
