ward,precinct,total,Eileen Mary Brewer,Eileen Mary Brewer Percent,Joy Virginia Cunningham,Joy Virginia Cunningham Percent,James Michael Bailey,James Michael Bailey Percent,Barbara Ann Riley,Barbara Ann Riley Percent,precinct_id
1,1,70,14,20.0,16,22.86,8,11.43,15,21.43,01001
1,2,46,11,23.91,15,32.61,2,4.35,6,13.04,01002
1,3,40,9,22.5,14,35.0,6,15.0,2,5.0,01003
1,4,73,19,26.03,19,26.03,8,10.96,9,12.33,01004
1,5,63,9,14.29,23,36.51,5,7.94,13,20.63,01005
1,6,66,7,10.61,21,31.82,12,18.18,13,19.7,01006
1,7,69,13,18.84,15,21.74,7,10.14,7,10.14,01007
1,8,61,8,13.11,16,26.23,8,13.11,8,13.11,01008
1,9,101,13,12.87,24,23.76,13,12.87,14,13.86,01009
1,10,64,8,12.5,18,28.13,3,4.69,13,20.31,01010
1,11,37,12,32.43,7,18.92,5,13.51,6,16.22,01011
1,12,69,17,24.64,15,21.74,5,7.25,7,10.14,01012
1,13,96,13,13.54,24,25.0,16,16.67,16,16.67,01013
1,14,87,9,10.34,28,32.18,12,13.79,13,14.94,01014
1,15,73,7,9.59,14,19.18,13,17.81,16,21.92,01015
1,16,28,2,7.14,8,28.57,8,28.57,3,10.71,01016
1,17,44,8,18.18,12,27.27,5,11.36,9,20.45,01017
1,18,53,7,13.21,13,24.53,8,15.09,8,15.09,01018
1,19,85,17,20.0,13,15.29,16,18.82,11,12.94,01019
1,20,75,14,18.67,13,17.33,13,17.33,15,20.0,01020
1,21,64,11,17.19,16,25.0,8,12.5,16,25.0,01021
1,22,78,6,7.69,11,14.1,6,7.69,23,29.49,01022
1,23,45,7,15.56,11,24.44,8,17.78,11,24.44,01023
1,24,126,19,15.08,33,26.19,16,12.7,31,24.6,01024
1,25,59,8,13.56,19,32.2,6,10.17,9,15.25,01025
1,26,43,7,16.28,12,27.91,5,11.63,10,23.26,01026
1,27,49,4,8.16,18,36.73,5,10.2,12,24.49,01027
1,28,83,16,19.28,18,21.69,16,19.28,17,20.48,01028
1,29,71,14,19.72,12,16.9,8,11.27,19,26.76,01029
1,30,164,25,15.24,36,21.95,14,8.54,33,20.12,01030
1,31,59,8,13.56,16,27.12,4,6.78,6,10.17,01031
1,32,67,9,13.43,14,20.9,6,8.96,12,17.91,01032
1,33,69,10,14.49,19,27.54,3,4.35,17,24.64,01033
1,34,40,6,15.0,14,35.0,4,10.0,3,7.5,01034
1,35,32,7,21.88,10,31.25,6,18.75,4,12.5,01035
1,36,57,11,19.3,16,28.07,3,5.26,13,22.81,01036
1,37,51,11,21.57,16,31.37,9,17.65,5,9.8,01037
1,38,44,6,13.64,13,29.55,8,18.18,2,4.55,01038
1,39,77,9,11.69,17,22.08,12,15.58,11,14.29,01039
1,40,51,6,11.76,16,31.37,3,5.88,15,29.41,01040
1,41,88,13,14.77,19,21.59,11,12.5,24,27.27,01041
1,42,45,5,11.11,10,22.22,5,11.11,9,20.0,01042
1,43,55,11,20.0,20,36.36,5,9.09,5,9.09,01043
1,44,43,2,4.65,10,23.26,9,20.93,6,13.95,01044
1,45,62,9,14.52,14,22.58,8,12.9,19,30.65,01045
1,46,56,5,8.93,11,19.64,3,5.36,10,17.86,01046
1,47,35,5,14.29,16,45.71,2,5.71,2,5.71,01047
1,48,64,11,17.19,17,26.56,6,9.38,11,17.19,01048
1,49,26,2,7.69,9,34.62,1,3.85,4,15.38,01049
1,50,48,7,14.58,9,18.75,4,8.33,9,18.75,01050
2,1,121,34,28.1,37,30.58,17,14.05,16,13.22,02001
2,2,4,0,,0,,3,,1,,02002
2,3,90,13,14.44,26,28.89,16,17.78,11,12.22,02003
2,4,96,5,5.21,46,47.92,11,11.46,10,10.42,02004
2,5,76,8,10.53,32,42.11,12,15.79,10,13.16,02005
2,6,63,17,26.98,16,25.4,5,7.94,13,20.63,02006
2,7,176,18,10.23,73,41.48,26,14.77,26,14.77,02007
2,8,144,33,22.92,45,31.25,5,3.47,20,13.89,02008
2,9,99,4,4.04,47,47.47,14,14.14,13,13.13,02009
2,10,25,7,28.0,9,36.0,5,20.0,3,12.0,02010
2,11,67,11,16.42,16,23.88,9,13.43,13,19.4,02011
2,12,80,19,23.75,29,36.25,6,7.5,7,8.75,02012
2,13,104,12,11.54,38,36.54,8,7.69,15,14.42,02013
2,14,201,28,13.93,109,54.23,19,9.45,13,6.47,02014
2,15,21,0,,14,,3,,3,,02015
2,16,81,11,13.58,30,37.04,7,8.64,15,18.52,02016
2,17,101,16,15.84,47,46.53,11,10.89,12,11.88,02017
2,18,118,22,18.64,45,38.14,13,11.02,11,9.32,02018
2,19,5,0,,0,,2,,2,,02019
2,20,185,11,5.95,103,55.68,20,10.81,19,10.27,02020
2,21,163,20,12.27,80,49.08,16,9.82,17,10.43,02021
2,22,222,47,21.17,87,39.19,10,4.5,24,10.81,02022
2,23,86,12,13.95,40,46.51,9,10.47,9,10.47,02023
2,24,66,6,9.09,35,53.03,8,12.12,7,10.61,02024
2,25,63,8,12.7,27,42.86,10,15.87,11,17.46,02025
2,26,153,28,18.3,53,34.64,20,13.07,26,16.99,02026
2,27,100,17,17.0,45,45.0,9,9.0,17,17.0,02027
2,28,35,13,37.14,13,37.14,2,5.71,2,5.71,02028
2,29,32,5,15.63,13,40.63,2,6.25,3,9.38,02029
2,30,65,12,18.46,18,27.69,10,15.38,14,21.54,02030
2,31,165,15,9.09,87,52.73,20,12.12,21,12.73,02031
2,32,51,8,15.69,16,31.37,5,9.8,12,23.53,02032
2,33,61,8,13.11,20,32.79,6,9.84,12,19.67,02033
2,34,157,17,10.83,89,56.69,15,9.55,19,12.1,02034
2,35,29,4,13.79,15,51.72,2,6.9,3,10.34,02035
2,36,56,6,10.71,17,30.36,8,14.29,11,19.64,02036
2,37,135,28,20.74,37,27.41,14,10.37,22,16.3,02037
2,38,142,15,10.56,62,43.66,19,13.38,15,10.56,02038
2,39,86,18,20.93,29,33.72,15,17.44,12,13.95,02039
2,40,146,45,30.82,32,21.92,21,14.38,25,17.12,02040
2,41,59,8,13.56,23,38.98,14,23.73,6,10.17,02041
2,42,20,3,,11,,1,,0,,02042
2,43,186,36,19.35,67,36.02,18,9.68,17,9.14,02043
2,44,126,13,10.32,61,48.41,10,7.94,20,15.87,02044
2,45,94,11,11.7,33,35.11,19,20.21,19,20.21,02045
