ward,precinct,total,"Michael J. Howlett, Jr.","Michael J. Howlett, Jr. Percent",Margaret Ann (Meg) Carey,Margaret Ann (Meg) Carey Percent,precinct_id
1,1,68,33,48.53,35,51.47,01001
1,2,46,20,43.48,26,56.52,01002
1,3,38,23,60.53,15,39.47,01003
1,4,66,33,50.0,33,50.0,01004
1,5,59,25,42.37,34,57.63,01005
1,6,59,32,54.24,27,45.76,01006
1,7,71,46,64.79,25,35.21,01007
1,8,58,35,60.34,23,39.66,01008
1,9,96,56,58.33,40,41.67,01009
1,10,67,34,50.75,33,49.25,01010
1,11,41,23,56.1,18,43.9,01011
1,12,69,43,62.32,26,37.68,01012
1,13,96,48,50.0,48,50.0,01013
1,14,87,51,58.62,36,41.38,01014
1,15,72,45,62.5,27,37.5,01015
1,16,26,19,73.08,7,26.92,01016
1,17,44,20,45.45,24,54.55,01017
1,18,49,28,57.14,21,42.86,01018
1,19,81,45,55.56,36,44.44,01019
1,20,63,37,58.73,26,41.27,01020
1,21,66,34,51.52,32,48.48,01021
1,22,73,44,60.27,29,39.73,01022
1,23,45,18,40.0,27,60.0,01023
1,24,127,63,49.61,64,50.39,01024
1,25,58,32,55.17,26,44.83,01025
1,26,44,19,43.18,25,56.82,01026
1,27,47,21,44.68,26,55.32,01027
1,28,80,37,46.25,43,53.75,01028
1,29,69,23,33.33,46,66.67,01029
1,30,160,87,54.38,73,45.63,01030
1,31,52,32,61.54,20,38.46,01031
1,32,68,42,61.76,26,38.24,01032
1,33,70,30,42.86,40,57.14,01033
1,34,41,22,53.66,19,46.34,01034
1,35,28,15,53.57,13,46.43,01035
1,36,58,24,41.38,34,58.62,01036
1,37,48,28,58.33,20,41.67,01037
1,38,46,29,63.04,17,36.96,01038
1,39,75,41,54.67,34,45.33,01039
1,40,51,22,43.14,29,56.86,01040
1,41,90,41,45.56,49,54.44,01041
1,42,43,26,60.47,17,39.53,01042
1,43,52,19,36.54,33,63.46,01043
1,44,45,27,60.0,18,40.0,01044
1,45,60,19,31.67,41,68.33,01045
1,46,56,39,69.64,17,30.36,01046
1,47,34,18,52.94,16,47.06,01047
1,48,70,32,45.71,38,54.29,01048
1,49,27,16,59.26,11,40.74,01049
1,50,47,24,51.06,23,48.94,01050
2,1,115,54,46.96,61,53.04,02001
2,2,4,1,25.0,3,75.0,02002
2,3,87,49,56.32,38,43.68,02003
2,4,87,61,70.11,26,29.89,02004
2,5,72,50,69.44,22,30.56,02005
2,6,64,28,43.75,36,56.25,02006
2,7,165,109,66.06,56,33.94,02007
2,8,141,92,65.25,49,34.75,02008
2,9,88,54,61.36,34,38.64,02009
2,10,23,19,82.61,4,17.39,02010
2,11,68,44,64.71,24,35.29,02011
2,12,80,48,60.0,32,40.0,02012
2,13,98,70,71.43,28,28.57,02013
2,14,196,119,60.71,77,39.29,02014
2,15,21,12,57.14,9,42.86,02015
2,16,81,48,59.26,33,40.74,02016
2,17,102,70,68.63,32,31.37,02017
