ward,precinct,total,Judy Baar Topinka,Judy Baar Topinka Percent,Bill Brady,Bill Brady Percent,Jim Oberweis,Jim Oberweis Percent,Andy Martin,Andy Martin Percent,precinct_id
1,1,13,6,,0,,5,,1,,01001
1,2,8,4,,0,,2,,1,,01002
1,3,8,5,,1,,0,,1,,01003
1,4,4,2,,0,,1,,1,,01004
1,5,6,4,,1,,1,,0,,01005
1,6,18,12,,0,,2,,1,,01006
1,7,9,6,,1,,2,,0,,01007
1,8,3,0,,1,,2,,0,,01008
1,9,8,2,,4,,0,,0,,01009
1,10,8,2,,2,,2,,0,,01010
1,11,9,2,,0,,6,,0,,01011
1,12,8,1,,1,,5,,0,,01012
1,13,6,2,,1,,2,,0,,01013
1,14,4,3,,0,,1,,0,,01014
1,15,6,0,,0,,2,,1,,01015
1,16,1,1,,0,,0,,0,,01016
1,17,4,2,,0,,0,,0,,01017
1,18,7,1,,0,,3,,2,,01018
1,19,9,4,,1,,3,,0,,01019
1,20,13,5,38.46,1,7.69,3,23.08,2,15.38,01020
1,21,12,5,,1,,5,,0,,01021
1,22,7,0,,1,,6,,0,,01022
1,23,6,2,,0,,3,,0,,01023
1,24,8,4,,1,,1,,0,,01024
1,25,5,1,,1,,1,,0,,01025
1,26,7,2,,1,,3,,0,,01026
1,27,6,2,,2,,2,,0,,01027
1,28,4,1,,0,,1,,0,,01028
1,29,11,1,,1,,5,,0,,01029
1,30,13,5,,1,,4,,0,,01030
1,31,11,7,,1,,1,,0,,01031
1,32,12,5,,1,,4,,0,,01032
1,33,13,7,,1,,5,,0,,01033
1,34,1,1,,0,,0,,0,,01034
1,35,7,1,,1,,5,,0,,01035
1,36,16,7,,2,,3,,0,,01036
1,37,6,5,,0,,0,,0,,01037
1,38,2,1,,0,,1,,0,,01038
1,39,12,2,16.67,2,16.67,6,50.0,1,8.33,01039
1,40,15,8,,0,,4,,0,,01040
1,41,19,13,,2,,4,,0,,01041
1,42,9,2,,0,,5,,0,,01042
1,43,5,3,,1,,1,,0,,01043
1,44,6,2,,0,,1,,0,,01044
1,45,4,2,,1,,1,,0,,01045
1,46,2,2,,0,,0,,0,,01046
1,47,8,4,,0,,3,,0,,01047
1,48,6,2,,0,,2,,1,,01048
