ward,precinct,total,MILAGROS SANTIAGO,MILAGROS SANTIAGO Percent,REGNER ''RAY'' SUAREZ,REGNER ''RAY'' SUAREZ Percent,precinct_id
31,1,201,110,54.73,91,45.27,31001
31,2,175,86,49.14,89,50.86,31002
31,3,236,123,52.12,113,47.88,31003
31,4,231,131,56.71,100,43.29,31004
31,5,220,142,64.55,78,35.45,31005
31,6,213,79,37.09,134,62.91,31006
31,7,218,146,66.97,72,33.03,31007
31,8,151,93,61.59,58,38.41,31008
31,9,248,177,71.37,71,28.63,31009
31,10,180,101,56.11,79,43.89,31010
31,11,182,99,54.4,83,45.6,31011
31,12,180,103,57.22,77,42.78,31012
31,13,231,115,49.78,116,50.22,31013
31,14,195,117,60.0,78,40.0,31014
31,15,175,87,49.71,88,50.29,31015
31,16,237,139,58.65,98,41.35,31016
31,17,222,125,56.31,97,43.69,31017
31,18,203,96,47.29,107,52.71,31018
31,19,184,80,43.48,104,56.52,31019
31,20,202,72,35.64,130,64.36,31020
31,21,186,72,38.71,114,61.29,31021
31,22,174,102,58.62,72,41.38,31022
31,23,193,114,59.07,79,40.93,31023
31,24,222,86,38.74,136,61.26,31024
31,25,187,89,47.59,98,52.41,31025
31,26,229,110,48.03,119,51.97,31026
31,27,249,85,34.14,164,65.86,31027
31,28,173,84,48.55,89,51.45,31028
31,29,247,86,34.82,161,65.18,31029
31,30,169,90,53.25,79,46.75,31030
31,31,208,99,47.6,109,52.4,31031
31,32,173,78,45.09,95,54.91,31032
31,33,199,91,45.73,108,54.27,31033
31,34,201,115,57.21,86,42.79,31034
31,35,242,122,50.41,120,49.59,31035
31,36,243,95,39.09,148,60.91,31036
31,37,188,60,31.91,128,68.09,31037
31,38,208,104,50.0,104,50.0,31038
31,39,185,102,55.14,83,44.86,31039
31,40,204,122,59.8,82,40.2,31040
31,41,193,91,47.15,102,52.85,31041
