ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Antonio Davis-Fairman,Antonio Davis-Fairman Percent,precinct_id
1,1,167,133,79.64,34,20.36,01001
1,6,393,315,80.15,78,19.85,01006
1,11,38,31,81.58,7,18.42,01011
1,14,203,175,86.21,28,13.79,01014
2,1,663,485,73.15,178,26.85,02001
2,2,18,17,94.44,1,5.56,02002
2,3,467,377,80.73,90,19.27,02003
2,4,330,323,97.88,7,2.12,02004
2,5,244,236,96.72,8,3.28,02005
2,6,594,399,67.17,195,32.83,02006
2,7,441,430,97.51,11,2.49,02007
2,8,536,417,77.8,119,22.2,02008
2,9,260,251,96.54,9,3.46,02009
2,10,127,125,98.43,2,1.57,02010
2,11,200,156,78.0,44,22.0,02011
2,12,603,403,66.83,200,33.17,02012
2,13,354,303,85.59,51,14.41,02013
2,14,6,6,100.0,0,0.0,02014
2,15,90,86,95.56,4,4.44,02015
2,16,567,421,74.25,146,25.75,02016
2,17,379,370,97.63,9,2.37,02017
2,18,1230,907,73.74,323,26.26,02018
2,19,197,189,95.94,8,4.06,02019
2,20,38,32,84.21,6,15.79,02020
2,21,410,368,89.76,42,10.24,02021
2,22,621,484,77.94,137,22.06,02022
2,23,266,253,95.11,13,4.89,02023
2,24,237,228,96.2,9,3.8,02024
2,25,266,225,84.59,41,15.41,02025
2,26,690,556,80.58,134,19.42,02026
2,27,275,271,98.55,4,1.45,02027
2,28,311,207,66.56,104,33.44,02028
2,29,169,147,86.98,22,13.02,02029
2,30,335,331,98.81,4,1.19,02030
2,32,246,243,98.78,3,1.22,02032
2,33,294,290,98.64,4,1.36,02033
2,34,358,348,97.21,10,2.79,02034
2,35,253,204,80.63,49,19.37,02035
2,36,185,183,98.92,2,1.08,02036
2,37,543,409,75.32,134,24.68,02037
2,38,425,391,92.0,34,8.0,02038
2,39,414,362,87.44,52,12.56,02039
2,40,495,431,87.07,64,12.93,02040
2,41,262,257,98.09,5,1.91,02041
2,42,207,181,87.44,26,12.56,02042
2,43,537,447,83.24,90,16.76,02043
2,45,394,383,97.21,11,2.79,02045
2,47,317,306,96.53,11,3.47,02047
2,48,303,299,98.68,4,1.32,02048
2,49,672,529,78.72,143,21.28,02049
2,50,285,226,79.3,59,20.7,02050
2,51,340,327,96.18,13,3.82,02051
2,52,424,406,95.75,18,4.25,02052
2,53,241,234,97.1,7,2.9,02053
2,54,560,458,81.79,102,18.21,02054
2,55,123,104,84.55,19,15.45,02055
2,56,303,295,97.36,8,2.64,02056
2,57,157,148,94.27,9,5.73,02057
2,58,290,246,84.83,44,15.17,02058
2,59,384,335,87.24,49,12.76,02059
3,1,269,265,98.51,4,1.49,03001
3,2,418,407,97.37,11,2.63,03002
3,3,310,268,86.45,42,13.55,03003
3,4,126,121,96.03,5,3.97,03004
3,6,322,313,97.2,9,2.8,03006
3,8,86,84,97.67,2,2.33,03008
3,9,254,250,98.43,4,1.57,03009
3,10,178,175,98.31,3,1.69,03010
3,11,209,206,98.56,3,1.44,03011
3,12,358,349,97.49,9,2.51,03012
3,14,179,178,99.44,1,0.56,03014
3,15,406,390,96.06,16,3.94,03015
3,16,601,588,97.84,13,2.16,03016
3,17,250,246,98.4,4,1.6,03017
3,18,212,207,97.64,5,2.36,03018
3,19,120,118,98.33,2,1.67,03019
3,20,6,6,100.0,0,0.0,03020
3,21,218,212,97.25,6,2.75,03021
3,22,226,221,97.79,5,2.21,03022
3,23,41,41,100.0,0,0.0,03023
3,24,277,271,97.83,6,2.17,03024
3,25,16,16,100.0,0,0.0,03025
3,26,231,225,97.4,6,2.6,03026
3,27,9,9,100.0,0,0.0,03027
3,28,267,255,95.51,12,4.49,03028
3,29,241,236,97.93,5,2.07,03029
3,31,433,423,97.69,10,2.31,03031
3,32,319,316,99.06,3,0.94,03032
3,33,416,397,95.43,19,4.57,03033
3,35,317,309,97.48,8,2.52,03035
3,36,153,147,96.08,6,3.92,03036
3,37,176,168,95.45,8,4.55,03037
3,39,370,364,98.38,6,1.62,03039
3,40,258,248,96.12,10,3.88,03040
3,41,258,248,96.12,10,3.88,03041
3,42,310,301,97.1,9,2.9,03042
3,43,87,86,98.85,1,1.15,03043
3,45,122,116,95.08,6,4.92,03045
3,47,254,245,96.46,9,3.54,03047
3,48,315,309,98.1,6,1.9,03048
3,49,118,116,98.31,2,1.69,03049
3,50,305,296,97.05,9,2.95,03050
3,52,175,173,98.86,2,1.14,03052
3,54,148,115,77.7,33,22.3,03054
3,55,240,234,97.5,6,2.5,03055
3,56,198,193,97.47,5,2.53,03056
3,57,387,375,96.9,12,3.1,03057
3,59,193,189,97.93,4,2.07,03059
3,60,400,388,97.0,12,3.0,03060
3,61,301,255,84.72,46,15.28,03061
3,62,234,227,97.01,7,2.99,03062
3,63,635,467,73.54,168,26.46,03063
4,4,564,554,98.23,10,1.77,04004
4,5,453,441,97.35,12,2.65,04005
4,6,146,144,98.63,2,1.37,04006
4,7,315,307,97.46,8,2.54,04007
4,10,535,523,97.76,12,2.24,04010
4,11,453,435,96.03,18,3.97,04011
4,14,370,360,97.3,10,2.7,04014
4,15,286,271,94.76,15,5.24,04015
4,25,395,385,97.47,10,2.53,04025
4,27,399,385,96.49,14,3.51,04027
4,35,296,287,96.96,9,3.04,04035
4,36,249,240,96.39,9,3.61,04036
4,42,408,385,94.36,23,5.64,04042
4,53,395,380,96.2,15,3.8,04053
11,14,324,287,88.58,37,11.42,11014
