ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Raymond G. Wardingley,Raymond G. Wardingley Percent,precinct_id
2,14,433,410,94.69,23,5.31,02014
2,20,360,341,94.72,19,5.28,02020
2,31,349,335,95.99,14,4.01,02031
2,44,237,227,95.78,10,4.22,02044
2,46,441,422,95.69,19,4.31,02046
3,5,190,185,97.37,5,2.63,03005
3,7,274,257,93.8,17,6.2,03007
3,30,249,245,98.39,4,1.61,03030
3,34,194,189,97.42,5,2.58,03034
3,36,27,27,100.0,0,0.0,03036
3,38,66,63,95.45,3,4.55,03038
3,41,90,87,96.67,3,3.33,03041
3,44,189,185,97.88,4,2.12,03044
3,46,255,248,97.25,7,2.75,03046
3,49,3,3,100.0,0,0.0,03049
3,53,392,332,84.69,60,15.31,03053
3,56,3,3,100.0,0,0.0,03056
3,58,106,103,97.17,3,2.83,03058
4,1,398,357,89.7,41,10.3,04001
4,2,455,437,96.04,18,3.96,04002
4,3,559,544,97.32,15,2.68,04003
4,8,404,393,97.28,11,2.72,04008
4,9,622,604,97.11,18,2.89,04009
4,12,245,235,95.92,10,4.08,04012
4,13,333,311,93.39,22,6.61,04013
4,16,534,523,97.94,11,2.06,04016
4,17,440,375,85.23,65,14.77,04017
4,18,490,478,97.55,12,2.45,04018
4,19,477,465,97.48,12,2.52,04019
4,20,185,180,97.3,5,2.7,04020
4,21,467,452,96.79,15,3.21,04021
4,22,494,465,94.13,29,5.87,04022
4,23,305,275,90.16,30,9.84,04023
4,24,472,449,95.13,23,4.87,04024
4,26,441,431,97.73,10,2.27,04026
4,28,323,290,89.78,33,10.22,04028
4,29,303,277,91.42,26,8.58,04029
4,30,177,176,99.44,1,0.56,04030
4,31,80,80,100.0,0,0.0,04031
4,32,484,432,89.26,52,10.74,04032
4,33,187,183,97.86,4,2.14,04033
4,34,312,278,89.1,34,10.9,04034
4,37,241,234,97.1,7,2.9,04037
4,38,586,558,95.22,28,4.78,04038
4,39,276,273,98.91,3,1.09,04039
4,40,407,386,94.84,21,5.16,04040
4,41,240,212,88.33,28,11.67,04041
4,42,6,5,83.33,1,16.67,04042
4,43,316,300,94.94,16,5.06,04043
4,44,355,324,91.27,31,8.73,04044
4,45,537,507,94.41,30,5.59,04045
4,46,383,368,96.08,15,3.92,04046
4,47,721,678,94.04,43,5.96,04047
4,48,566,513,90.64,53,9.36,04048
4,49,210,208,99.05,2,0.95,04049
4,50,346,337,97.4,9,2.6,04050
4,51,420,407,96.9,13,3.1,04051
4,52,129,128,99.22,1,0.78,04052
4,54,255,237,92.94,18,7.06,04054
4,55,329,301,91.49,28,8.51,04055
4,56,450,441,98.0,9,2.0,04056
4,57,176,169,96.02,7,3.98,04057
5,2,382,372,97.38,10,2.62,05002
5,3,257,240,93.39,17,6.61,05003
5,5,378,369,97.62,9,2.38,05005
5,8,492,442,89.84,50,10.16,05008
5,9,397,384,96.73,13,3.27,05009
5,10,453,445,98.23,8,1.77,05010
5,12,314,304,96.82,10,3.18,05012
5,13,340,335,98.53,5,1.47,05013
5,15,415,384,92.53,31,7.47,05015
5,16,378,368,97.35,10,2.65,05016
5,17,465,458,98.49,7,1.51,05017
5,18,473,461,97.46,12,2.54,05018
5,19,234,228,97.44,6,2.56,05019
5,20,249,243,97.59,6,2.41,05020
5,22,351,345,98.29,6,1.71,05022
5,23,302,295,97.68,7,2.32,05023
5,25,475,467,98.32,8,1.68,05025
5,27,705,604,85.67,101,14.33,05027
5,30,387,346,89.41,41,10.59,05030
5,33,234,228,97.44,6,2.56,05033
5,35,373,323,86.6,50,13.4,05035
5,39,451,404,89.58,47,10.42,05039
5,41,381,342,89.76,39,10.24,05041
5,45,278,273,98.2,5,1.8,05045
5,48,300,288,96.0,12,4.0,05048
5,50,369,361,97.83,8,2.17,05050
5,51,312,310,99.36,2,0.64,05051
5,52,158,147,93.04,11,6.96,05052
5,53,419,379,90.45,40,9.55,05053
5,55,308,300,97.4,8,2.6,05055
6,1,424,407,95.99,17,4.01,06001
6,2,436,430,98.62,6,1.38,06002
6,3,413,406,98.31,7,1.69,06003
6,4,297,289,97.31,8,2.69,06004
6,5,314,312,99.36,2,0.64,06005
6,6,345,332,96.23,13,3.77,06006
6,7,480,472,98.33,8,1.67,06007
6,8,353,346,98.02,7,1.98,06008
6,9,259,255,98.46,4,1.54,06009
6,10,439,427,97.27,12,2.73,06010
6,11,390,382,97.95,8,2.05,06011
6,12,419,407,97.14,12,2.86,06012
6,13,392,388,98.98,4,1.02,06013
6,14,450,441,98.0,9,2.0,06014
6,15,445,437,98.2,8,1.8,06015
6,16,409,401,98.04,8,1.96,06016
6,17,472,468,99.15,4,0.85,06017
6,18,146,141,96.58,5,3.42,06018
6,19,467,458,98.07,9,1.93,06019
6,20,387,381,98.45,6,1.55,06020
6,23,337,331,98.22,6,1.78,06023
6,24,406,401,98.77,5,1.23,06024
6,25,307,305,99.35,2,0.65,06025
6,26,432,429,99.31,3,0.69,06026
6,27,484,472,97.52,12,2.48,06027
6,28,576,563,97.74,13,2.26,06028
6,29,437,431,98.63,6,1.37,06029
6,30,379,374,98.68,5,1.32,06030
6,31,432,420,97.22,12,2.78,06031
6,32,479,472,98.54,7,1.46,06032
6,33,448,438,97.77,10,2.23,06033
6,34,412,402,97.57,10,2.43,06034
6,35,506,492,97.23,14,2.77,06035
6,36,267,260,97.38,7,2.62,06036
6,37,401,396,98.75,5,1.25,06037
6,38,459,443,96.51,16,3.49,06038
6,39,404,397,98.27,7,1.73,06039
6,40,293,284,96.93,9,3.07,06040
6,41,404,397,98.27,7,1.73,06041
6,42,336,328,97.62,8,2.38,06042
6,43,428,419,97.9,9,2.1,06043
6,44,411,405,98.54,6,1.46,06044
6,45,239,236,98.74,3,1.26,06045
6,46,337,329,97.63,8,2.37,06046
6,47,410,403,98.29,7,1.71,06047
6,48,440,434,98.64,6,1.36,06048
6,49,419,408,97.37,11,2.63,06049
6,50,371,365,98.38,6,1.62,06050
6,51,295,291,98.64,4,1.36,06051
6,52,351,345,98.29,6,1.71,06052
6,53,374,359,95.99,15,4.01,06053
6,54,421,412,97.86,9,2.14,06054
6,55,349,343,98.28,6,1.72,06055
6,56,293,286,97.61,7,2.39,06056
6,57,270,268,99.26,2,0.74,06057
6,58,384,375,97.66,9,2.34,06058
6,59,363,357,98.35,6,1.65,06059
6,60,264,259,98.11,5,1.89,06060
6,61,310,304,98.06,6,1.94,06061
6,62,137,134,97.81,3,2.19,06062
6,63,355,350,98.59,5,1.41,06063
6,65,154,153,99.35,1,0.65,06065
6,66,428,416,97.2,12,2.8,06066
8,1,398,393,98.74,5,1.26,08001
8,2,212,210,99.06,2,0.94,08002
8,3,64,63,98.44,1,1.56,08003
8,6,405,394,97.28,11,2.72,08006
8,10,466,458,98.28,8,1.72,08010
8,11,347,340,97.98,7,2.02,08011
8,12,388,372,95.88,16,4.12,08012
8,13,323,317,98.14,6,1.86,08013
8,14,423,416,98.35,7,1.65,08014
8,16,369,361,97.83,8,2.17,08016
8,18,296,292,98.65,4,1.35,08018
8,20,292,292,100.0,0,0.0,08020
8,21,292,284,97.26,8,2.74,08021
8,22,355,345,97.18,10,2.82,08022
8,29,467,453,97.0,14,3.0,08029
8,30,326,317,97.24,9,2.76,08030
8,31,311,308,99.04,3,0.96,08031
8,33,351,346,98.58,5,1.42,08033
8,35,454,453,99.78,1,0.22,08035
8,37,482,477,98.96,5,1.04,08037
8,38,400,394,98.5,6,1.5,08038
8,40,446,438,98.21,8,1.79,08040
8,41,345,339,98.26,6,1.74,08041
8,43,421,414,98.34,7,1.66,08043
8,45,354,342,96.61,12,3.39,08045
8,48,294,290,98.64,4,1.36,08048
8,52,364,360,98.9,4,1.1,08052
8,53,410,400,97.56,10,2.44,08053
8,54,416,401,96.39,15,3.61,08054
8,55,469,459,97.87,10,2.13,08055
8,56,440,431,97.95,9,2.05,08056
8,58,401,394,98.25,7,1.75,08058
8,59,294,284,96.6,10,3.4,08059
8,61,322,320,99.38,2,0.62,08061
8,64,375,372,99.2,3,0.8,08064
8,67,220,213,96.82,7,3.18,08067
8,68,337,329,97.63,8,2.37,08068
8,69,331,328,99.09,3,0.91,08069
9,54,315,303,96.19,12,3.81,09054
9,56,238,234,98.32,4,1.68,09056
9,58,299,292,97.66,7,2.34,09058
15,2,268,263,98.13,5,1.87,15002
15,3,282,275,97.52,7,2.48,15003
15,4,317,311,98.11,6,1.89,15004
15,5,308,303,98.38,5,1.62,15005
15,6,317,291,91.8,26,8.2,15006
15,7,286,279,97.55,7,2.45,15007
15,8,443,429,96.84,14,3.16,15008
15,9,314,304,96.82,10,3.18,15009
15,11,333,324,97.3,9,2.7,15011
15,12,210,208,99.05,2,0.95,15012
15,17,316,311,98.42,5,1.58,15017
15,18,252,245,97.22,7,2.78,15018
15,19,284,275,96.83,9,3.17,15019
15,20,269,264,98.14,5,1.86,15020
15,21,301,296,98.34,5,1.66,15021
15,22,358,336,93.85,22,6.15,15022
15,23,251,247,98.41,4,1.59,15023
15,24,324,306,94.44,18,5.56,15024
15,26,253,244,96.44,9,3.56,15026
15,27,244,236,96.72,8,3.28,15027
15,29,183,175,95.63,8,4.37,15029
15,30,380,366,96.32,14,3.68,15030
15,31,249,242,97.19,7,2.81,15031
15,33,258,252,97.67,6,2.33,15033
15,34,249,247,99.2,2,0.8,15034
