ward,precinct,total,Jesse L. Jackson Jr.,Jesse L. Jackson Jr. Percent,Stephanie Sailor,Stephanie Sailor Percent,precinct_id
5,1,435,424,97.47,11,2.53,05001
5,4,277,270,97.47,7,2.53,05004
5,6,457,449,98.25,8,1.75,05006
5,7,394,383,97.21,11,2.79,05007
5,11,391,355,90.79,36,9.21,05011
5,14,480,437,91.04,43,8.96,05014
5,21,448,436,97.32,12,2.68,05021
5,24,253,230,90.91,23,9.09,05024
5,26,398,389,97.74,9,2.26,05026
5,28,380,371,97.63,9,2.37,05028
5,29,403,386,95.78,17,4.22,05029
5,31,368,349,94.84,19,5.16,05031
5,32,498,485,97.39,13,2.61,05032
5,34,393,384,97.71,9,2.29,05034
5,36,292,285,97.6,7,2.4,05036
5,37,341,315,92.38,26,7.62,05037
5,38,344,309,89.83,35,10.17,05038
5,40,491,479,97.56,12,2.44,05040
5,42,420,412,98.1,8,1.9,05042
5,43,393,381,96.95,12,3.05,05043
5,44,485,475,97.94,10,2.06,05044
5,46,482,422,87.55,60,12.45,05046
5,47,339,333,98.23,6,1.77,05047
5,49,79,78,98.73,1,1.27,05049
5,54,477,465,97.48,12,2.52,05054
6,21,330,324,98.18,6,1.82,06021
6,22,390,383,98.21,7,1.79,06022
6,64,363,351,96.69,12,3.31,06064
7,1,340,328,96.47,12,3.53,07001
7,2,472,464,98.31,8,1.69,07002
7,3,354,341,96.33,13,3.67,07003
7,4,368,352,95.65,16,4.35,07004
7,5,356,343,96.35,13,3.65,07005
7,6,324,320,98.77,4,1.23,07006
7,7,268,264,98.51,4,1.49,07007
7,8,162,159,98.15,3,1.85,07008
7,9,338,328,97.04,10,2.96,07009
7,10,323,311,96.28,12,3.72,07010
7,11,360,351,97.5,9,2.5,07011
7,12,294,285,96.94,9,3.06,07012
7,13,277,273,98.56,4,1.44,07013
7,14,437,418,95.65,19,4.35,07014
7,15,248,240,96.77,8,3.23,07015
7,16,323,317,98.14,6,1.86,07016
7,17,277,272,98.19,5,1.81,07017
7,18,286,268,93.71,18,6.29,07018
7,19,558,549,98.39,9,1.61,07019
7,20,257,250,97.28,7,2.72,07020
7,21,362,350,96.69,12,3.31,07021
7,22,292,280,95.89,12,4.11,07022
7,23,266,260,97.74,6,2.26,07023
7,24,300,289,96.33,11,3.67,07024
7,25,388,381,98.2,7,1.8,07025
7,26,442,433,97.96,9,2.04,07026
7,27,414,405,97.83,9,2.17,07027
7,28,438,429,97.95,9,2.05,07028
7,29,177,170,96.05,7,3.95,07029
7,30,328,322,98.17,6,1.83,07030
7,31,322,315,97.83,7,2.17,07031
7,32,349,329,94.27,20,5.73,07032
7,33,249,244,97.99,5,2.01,07033
7,34,301,296,98.34,5,1.66,07034
7,35,232,227,97.84,5,2.16,07035
7,36,406,398,98.03,8,1.97,07036
7,37,147,144,97.96,3,2.04,07037
7,38,286,277,96.85,9,3.15,07038
7,39,324,315,97.22,9,2.78,07039
7,40,369,356,96.48,13,3.52,07040
7,41,264,255,96.59,9,3.41,07041
7,42,540,528,97.78,12,2.22,07042
7,43,388,380,97.94,8,2.06,07043
7,44,534,517,96.82,17,3.18,07044
7,45,448,432,96.43,16,3.57,07045
7,46,129,127,98.45,2,1.55,07046
7,47,289,283,97.92,6,2.08,07047
7,48,169,162,95.86,7,4.14,07048
7,49,207,204,98.55,3,1.45,07049
7,50,208,203,97.6,5,2.4,07050
7,51,305,299,98.03,6,1.97,07051
7,52,279,272,97.49,7,2.51,07052
7,53,267,262,98.13,5,1.87,07053
7,54,179,172,96.09,7,3.91,07054
7,55,272,264,97.06,8,2.94,07055
7,56,308,299,97.08,9,2.92,07056
7,57,268,261,97.39,7,2.61,07057
7,58,351,337,96.01,14,3.99,07058
7,59,202,197,97.52,5,2.48,07059
7,60,221,215,97.29,6,2.71,07060
7,61,266,261,98.12,5,1.88,07061
7,62,294,285,96.94,9,3.06,07062
7,63,304,290,95.39,14,4.61,07063
7,64,274,261,95.26,13,4.74,07064
7,65,352,345,98.01,7,1.99,07065
8,3,344,332,96.51,12,3.49,08003
8,4,335,329,98.21,6,1.79,08004
8,5,378,369,97.62,9,2.38,08005
8,7,300,289,96.33,11,3.67,08007
8,8,382,376,98.43,6,1.57,08008
8,9,426,416,97.65,10,2.35,08009
8,15,313,305,97.44,8,2.56,08015
8,17,294,288,97.96,6,2.04,08017
8,19,429,420,97.9,9,2.1,08019
8,23,375,366,97.6,9,2.4,08023
8,24,386,378,97.93,8,2.07,08024
8,25,366,358,97.81,8,2.19,08025
8,26,287,282,98.26,5,1.74,08026
8,27,390,371,95.13,19,4.87,08027
8,28,320,317,99.06,3,0.94,08028
8,32,556,545,98.02,11,1.98,08032
8,34,431,419,97.22,12,2.78,08034
