ward,precinct,total,Lawrence Andolino,Lawrence Andolino Percent,Paula Marie Daleo,Paula Marie Daleo Percent,precinct_id
29,2,91,42,46.15,49,53.85,29002
29,6,38,19,50.0,19,50.0,29006
29,7,80,41,51.25,39,48.75,29007
29,9,52,28,53.85,24,46.15,29009
29,12,215,115,53.49,100,46.51,29012
29,15,182,97,53.3,85,46.7,29015
29,17,137,92,67.15,45,32.85,29017
29,24,54,41,75.93,13,24.07,29024
29,25,194,156,80.41,38,19.59,29025
29,32,94,56,59.57,38,40.43,29032
29,36,189,144,76.19,45,23.81,29036
29,39,111,72,64.86,39,35.14,29039
29,48,117,70,59.83,47,40.17,29048
29,49,168,125,74.4,43,25.6,29049
29,52,108,56,51.85,52,48.15,29052
29,53,111,44,39.64,67,60.36,29053
29,54,96,57,59.38,39,40.63,29054
30,2,66,38,57.58,28,42.42,30002
30,3,16,6,37.5,10,62.5,30003
30,7,98,55,56.12,43,43.88,30007
30,8,83,41,49.4,42,50.6,30008
30,9,157,99,63.06,58,36.94,30009
30,10,116,49,42.24,67,57.76,30010
30,11,65,31,47.69,34,52.31,30011
30,12,67,24,35.82,43,64.18,30012
30,13,55,29,52.73,26,47.27,30013
30,14,33,17,51.52,16,48.48,30014
30,16,60,38,63.33,22,36.67,30016
30,17,133,61,45.86,72,54.14,30017
30,25,68,27,39.71,41,60.29,30025
30,28,82,42,51.22,40,48.78,30028
30,30,108,62,57.41,46,42.59,30030
30,34,110,60,54.55,50,45.45,30034
30,36,95,49,51.58,46,48.42,30036
30,37,55,28,50.91,27,49.09,30037
30,38,135,57,42.22,78,57.78,30038
30,39,84,33,39.29,51,60.71,30039
31,3,64,27,42.19,37,57.81,31003
31,8,53,26,49.06,27,50.94,31008
31,9,80,37,46.25,43,53.75,31009
31,15,39,12,30.77,27,69.23,31015
31,16,39,22,56.41,17,43.59,31016
31,18,8,4,50.0,4,50.0,31018
31,26,32,10,31.25,22,68.75,31026
31,29,67,29,43.28,38,56.72,31029
31,38,50,18,36.0,32,64.0,31038
31,43,68,32,47.06,36,52.94,31043
31,45,53,20,37.74,33,62.26,31045
35,13,65,31,47.69,34,52.31,35013
35,33,51,20,39.22,31,60.78,35033
36,1,142,108,76.06,34,23.94,36001
36,2,137,107,78.1,30,21.9,36002
36,3,169,133,78.7,36,21.3,36003
36,4,57,29,50.88,28,49.12,36004
36,5,122,91,74.59,31,25.41,36005
36,6,120,78,65.0,42,35.0,36006
36,7,91,63,69.23,28,30.77,36007
36,8,158,117,74.05,41,25.95,36008
36,9,130,104,80.0,26,20.0,36009
36,10,107,84,78.5,23,21.5,36010
36,11,237,192,81.01,45,18.99,36011
36,12,90,54,60.0,36,40.0,36012
36,13,299,260,86.96,39,13.04,36013
36,14,168,144,85.71,24,14.29,36014
36,15,132,106,80.3,26,19.7,36015
36,16,250,190,76.0,60,24.0,36016
36,17,123,98,79.67,25,20.33,36017
36,18,192,132,68.75,60,31.25,36018
36,19,197,187,94.92,10,5.08,36019
36,20,257,218,84.82,39,15.18,36020
36,21,241,155,64.32,86,35.68,36021
36,22,201,142,70.65,59,29.35,36022
36,23,88,74,84.09,14,15.91,36023
36,24,167,117,70.06,50,29.94,36024
36,25,93,56,60.22,37,39.78,36025
36,26,146,101,69.18,45,30.82,36026
36,27,79,53,67.09,26,32.91,36027
36,28,116,88,75.86,28,24.14,36028
36,29,129,85,65.89,44,34.11,36029
36,30,167,127,76.05,40,23.95,36030
36,31,186,131,70.43,55,29.57,36031
36,32,159,123,77.36,36,22.64,36032
36,33,155,118,76.13,37,23.87,36033
36,34,96,65,67.71,31,32.29,36034
36,35,198,155,78.28,43,21.72,36035
36,36,132,96,72.73,36,27.27,36036
36,37,116,86,74.14,30,25.86,36037
36,38,117,100,85.47,17,14.53,36038
36,39,140,98,70.0,42,30.0,36039
36,40,162,110,67.9,52,32.1,36040
36,41,131,73,55.73,58,44.27,36041
36,42,136,86,63.24,50,36.76,36042
36,43,121,85,70.25,36,29.75,36043
36,44,169,83,49.11,86,50.89,36044
36,45,151,98,64.9,53,35.1,36045
36,46,107,72,67.29,35,32.71,36046
36,47,120,88,73.33,32,26.67,36047
36,48,137,80,58.39,57,41.61,36048
36,49,162,113,69.75,49,30.25,36049
36,50,162,133,82.1,29,17.9,36050
36,51,241,196,81.33,45,18.67,36051
36,52,132,101,76.52,31,23.48,36052
36,53,112,87,77.68,25,22.32,36053
36,54,223,148,66.37,75,33.63,36054
36,55,234,195,83.33,39,16.67,36055
37,11,54,16,29.63,38,70.37,37011
37,16,156,68,43.59,88,56.41,37016
37,24,117,74,63.25,43,36.75,37024
37,52,5,3,60.0,2,40.0,37052
37,54,133,65,48.87,68,51.13,37054
37,57,74,34,45.95,40,54.05,37057
38,2,93,49,52.69,44,47.31,38002
38,3,92,67,72.83,25,27.17,38003
38,6,92,42,45.65,50,54.35,38006
38,8,84,47,55.95,37,44.05,38008
38,9,97,27,27.84,70,72.16,38009
38,10,118,42,35.59,76,64.41,38010
38,11,84,34,40.48,50,59.52,38011
38,12,143,86,60.14,57,39.86,38012
38,13,99,54,54.55,45,45.45,38013
38,14,95,52,54.74,43,45.26,38014
38,15,87,53,60.92,34,39.08,38015
38,16,150,91,60.67,59,39.33,38016
38,17,107,54,50.47,53,49.53,38017
38,18,115,67,58.26,48,41.74,38018
38,19,147,92,62.59,55,37.41,38019
38,20,140,46,32.86,94,67.14,38020
38,21,111,54,48.65,57,51.35,38021
38,22,122,54,44.26,68,55.74,38022
38,23,84,39,46.43,45,53.57,38023
38,24,59,24,40.68,35,59.32,38024
38,25,88,48,54.55,40,45.45,38025
38,26,86,47,54.65,39,45.35,38026
38,27,57,21,36.84,36,63.16,38027
38,28,81,44,54.32,37,45.68,38028
38,29,83,41,49.4,42,50.6,38029
38,30,101,55,54.46,46,45.54,38030
38,31,129,52,40.31,77,59.69,38031
38,32,133,72,54.14,61,45.86,38032
38,33,97,49,50.52,48,49.48,38033
38,34,65,26,40.0,39,60.0,38034
38,35,132,56,42.42,76,57.58,38035
38,36,110,74,67.27,36,32.73,38036
38,37,120,56,46.67,64,53.33,38037
38,38,138,69,50.0,69,50.0,38038
38,39,133,73,54.89,60,45.11,38039
38,40,89,47,52.81,42,47.19,38040
38,43,136,65,47.79,71,52.21,38043
38,44,116,53,45.69,63,54.31,38044
38,45,109,54,49.54,55,50.46,38045
38,46,97,47,48.45,50,51.55,38046
38,47,120,61,50.83,59,49.17,38047
38,48,121,59,48.76,62,51.24,38048
38,49,84,53,63.1,31,36.9,38049
38,50,122,70,57.38,52,42.62,38050
38,51,92,35,38.04,57,61.96,38051
38,52,126,61,48.41,65,51.59,38052
38,53,21,11,52.38,10,47.62,38053
41,25,41,19,46.34,22,53.66,41025
41,26,74,46,62.16,28,37.84,41026
41,27,44,22,50.0,22,50.0,41027
41,28,68,30,44.12,38,55.88,41028
41,29,35,11,31.43,24,68.57,41029
41,38,69,38,55.07,31,44.93,41038
41,48,59,27,45.76,32,54.24,41048
45,1,98,40,40.82,58,59.18,45001
45,20,26,11,42.31,15,57.69,45020
