ward,precinct,total,Shirley A. Coleman,Shirley A. Coleman Percent,precinct_id
16,1,66,66,100.0,16001
16,2,104,104,100.0,16002
16,3,117,117,100.0,16003
16,4,90,90,100.0,16004
16,5,148,148,100.0,16005
16,6,43,43,100.0,16006
16,7,89,89,100.0,16007
16,8,100,100,100.0,16008
16,9,182,182,100.0,16009
16,10,95,95,100.0,16010
16,11,116,116,100.0,16011
16,12,87,87,100.0,16012
16,13,86,86,100.0,16013
16,14,128,128,100.0,16014
16,15,145,145,100.0,16015
16,16,117,117,100.0,16016
16,17,138,138,100.0,16017
16,18,102,102,100.0,16018
16,19,94,94,100.0,16019
16,20,133,133,100.0,16020
16,21,90,90,100.0,16021
16,22,104,104,100.0,16022
16,23,105,105,100.0,16023
16,24,56,56,100.0,16024
16,25,99,99,100.0,16025
16,26,123,123,100.0,16026
16,27,135,135,100.0,16027
16,28,160,160,100.0,16028
16,29,69,69,100.0,16029
16,30,71,71,100.0,16030
16,31,154,154,100.0,16031
16,32,93,93,100.0,16032
16,33,117,117,100.0,16033
16,34,118,118,100.0,16034
16,35,94,94,100.0,16035
16,36,110,110,100.0,16036
16,37,86,86,100.0,16037
16,38,140,140,100.0,16038
16,39,51,51,100.0,16039
16,40,149,149,100.0,16040
16,41,60,60,100.0,16041
16,42,51,51,100.0,16042
16,43,128,128,100.0,16043
16,44,113,113,100.0,16044
16,45,77,77,100.0,16045
16,46,36,36,100.0,16046
16,47,44,44,100.0,16047
