ward,precinct,total,Tom Sharpe,Tom Sharpe Percent,precinct_id
46,1,250,250,100.0,46001
46,2,142,142,100.0,46002
46,3,182,182,100.0,46003
46,4,123,123,100.0,46004
46,5,136,136,100.0,46005
46,6,108,108,100.0,46006
46,7,169,169,100.0,46007
46,8,166,166,100.0,46008
46,9,132,132,100.0,46009
46,10,71,71,100.0,46010
46,11,170,170,100.0,46011
46,12,99,99,100.0,46012
46,13,149,149,100.0,46013
46,14,95,95,100.0,46014
46,15,154,154,100.0,46015
46,16,132,132,100.0,46016
46,17,206,206,100.0,46017
46,18,141,141,100.0,46018
46,19,151,151,100.0,46019
46,20,129,129,100.0,46020
46,21,33,33,100.0,46021
46,22,140,140,100.0,46022
46,23,112,112,100.0,46023
46,24,91,91,100.0,46024
46,25,70,70,100.0,46025
46,26,131,131,100.0,46026
46,27,115,115,100.0,46027
46,28,127,127,100.0,46028
46,29,122,122,100.0,46029
46,30,152,152,100.0,46030
46,31,120,120,100.0,46031
46,32,137,137,100.0,46032
46,33,147,147,100.0,46033
46,34,159,159,100.0,46034
46,35,89,89,100.0,46035
46,36,138,138,100.0,46036
46,37,69,69,100.0,46037
46,38,58,58,100.0,46038
46,39,122,122,100.0,46039
46,40,98,98,100.0,46040
46,41,112,112,100.0,46041
46,42,140,140,100.0,46042
46,43,81,81,100.0,46043
