ward,precinct,total,Michael J. Harrington,Michael J. Harrington Percent,Grady A. Humphrey,Grady A. Humphrey Percent,precinct_id
49,1,201,38,18.91,28,13.93,49001
49,2,153,77,50.33,21,13.73,49002
49,3,106,33,31.13,7,6.6,49003
49,4,80,23,28.75,11,13.75,49004
49,5,184,51,27.72,28,15.22,49005
49,6,172,42,24.42,16,9.3,49006
49,7,118,31,26.27,10,8.47,49007
49,8,157,61,38.85,18,11.46,49008
49,9,139,35,25.18,12,8.63,49009
49,10,136,30,22.06,9,6.62,49010
49,11,92,22,23.91,14,15.22,49011
49,12,164,53,32.32,16,9.76,49012
49,13,188,61,32.45,12,6.38,49013
49,14,144,41,28.47,18,12.5,49014
49,15,96,30,31.25,19,19.79,49015
49,16,126,29,23.02,16,12.7,49016
49,17,23,2,8.7,6,26.09,49017
49,18,111,38,34.23,9,8.11,49018
49,19,134,32,23.88,20,14.93,49019
49,20,199,54,27.14,23,11.56,49020
49,21,97,30,30.93,8,8.25,49021
49,22,138,28,20.29,18,13.04,49022
49,23,110,34,30.91,16,14.55,49023
49,24,51,13,25.49,4,7.84,49024
49,25,154,44,28.57,17,11.04,49025
49,26,162,40,24.69,20,12.35,49026
49,27,193,62,32.12,11,5.7,49027
49,28,119,31,26.05,12,10.08,49028
49,29,177,49,27.68,9,5.08,49029
49,30,161,57,35.4,20,12.42,49030
49,31,54,11,20.37,6,11.11,49031
49,32,124,31,25.0,13,10.48,49032
49,33,148,44,29.73,14,9.46,49033
49,34,145,46,31.72,10,6.9,49034
49,35,204,69,33.82,17,8.33,49035
49,36,208,55,26.44,16,7.69,49036
49,37,76,32,42.11,8,10.53,49037
49,38,109,25,22.94,16,14.68,49038
49,39,119,26,21.85,15,12.61,49039
49,40,133,26,19.55,17,12.78,49040
49,41,151,45,29.8,8,5.3,49041
49,42,153,44,28.76,14,9.15,49042
49,43,159,45,28.3,17,10.69,49043
49,44,160,44,27.5,16,10.0,49044
