ward,precinct,total,Dawn Doering-Suter (Kucinich),Dawn Doering-Suter (Kucinich) Percent,Amy V. Przybylo (Dean),Amy V. Przybylo (Dean) Percent,Alicia Renee Pardo (Edwards),Alicia Renee Pardo (Edwards) Percent,Jennifer A. Kuhn (Clark),Jennifer A. Kuhn (Clark) Percent,Amy Galibois (Kerry),Amy Galibois (Kerry) Percent,Deborah Rosenberg Alexander (Lieb),Deborah Rosenberg Alexander (Lieb) Percent,Beatrice Turner (Braun),Beatrice Turner (Braun) Percent,precinct_id
40,3,136,12,8.82,11,8.09,12,8.82,6,4.41,82,60.29,7,5.15,6,4.41,40003
40,4,139,20,14.39,16,11.51,10,7.19,5,3.6,83,59.71,3,2.16,2,1.44,40004
40,7,117,11,9.4,13,11.11,9,7.69,6,5.13,69,58.97,5,4.27,4,3.42,40007
40,8,33,2,6.06,5,15.15,5,15.15,0,0.0,16,48.48,2,6.06,3,9.09,40008
40,9,69,12,17.39,8,11.59,9,13.04,3,4.35,30,43.48,3,4.35,4,5.8,40009
40,11,112,14,12.5,8,7.14,7,6.25,2,1.79,71,63.39,6,5.36,4,3.57,40011
40,12,102,14,13.73,11,10.78,9,8.82,5,4.9,53,51.96,4,3.92,6,5.88,40012
40,13,151,23,15.23,19,12.58,19,12.58,5,3.31,69,45.7,5,3.31,11,7.28,40013
40,16,109,16,14.68,10,9.17,9,8.26,9,8.26,55,50.46,7,6.42,3,2.75,40016
40,18,133,11,8.27,10,7.52,11,8.27,9,6.77,68,51.13,7,5.26,17,12.78,40018
40,22,57,6,10.53,8,14.04,5,8.77,2,3.51,31,54.39,2,3.51,3,5.26,40022
40,26,157,24,15.29,16,10.19,11,7.01,7,4.46,81,51.59,9,5.73,9,5.73,40026
40,27,103,8,7.77,7,6.8,11,10.68,5,4.85,60,58.25,4,3.88,8,7.77,40027
40,28,115,8,6.96,6,5.22,10,8.7,9,7.83,56,48.7,11,9.57,15,13.04,40028
40,33,119,21,17.65,7,5.88,16,13.45,3,2.52,63,52.94,2,1.68,7,5.88,40033
40,35,116,17,14.66,11,9.48,13,11.21,9,7.76,51,43.97,7,6.03,8,6.9,40035
40,37,92,15,16.3,10,10.87,4,4.35,3,3.26,55,59.78,2,2.17,3,3.26,40037
40,39,108,9,8.33,7,6.48,11,10.19,9,8.33,64,59.26,3,2.78,5,4.63,40039
40,41,129,21,16.28,12,9.3,10,7.75,5,3.88,78,60.47,1,0.78,2,1.55,40041
40,42,152,13,8.55,8,5.26,16,10.53,12,7.89,91,59.87,8,5.26,4,2.63,40042
40,43,148,16,10.81,17,11.49,10,6.76,8,5.41,83,56.08,7,4.73,7,4.73,40043
40,46,135,10,7.41,8,5.93,14,10.37,13,9.63,77,57.04,9,6.67,4,2.96,40046
40,47,162,22,13.58,15,9.26,15,9.26,5,3.09,92,56.79,4,2.47,9,5.56,40047
41,1,77,9,11.69,16,20.78,7,9.09,5,6.49,37,48.05,0,0.0,3,3.9,41001
41,2,156,7,4.49,21,13.46,13,8.33,14,8.97,92,58.97,7,4.49,2,1.28,41002
41,4,119,11,9.24,19,15.97,7,5.88,7,5.88,63,52.94,7,5.88,5,4.2,41004
41,5,147,10,6.8,14,9.52,18,12.24,8,5.44,93,63.27,2,1.36,2,1.36,41005
41,6,110,5,4.55,14,12.73,15,13.64,5,4.55,68,61.82,2,1.82,1,0.91,41006
41,7,153,5,3.27,19,12.42,15,9.8,9,5.88,94,61.44,6,3.92,5,3.27,41007
41,8,114,9,7.89,12,10.53,13,11.4,5,4.39,69,60.53,4,3.51,2,1.75,41008
41,11,81,2,2.47,19,23.46,5,6.17,3,3.7,49,60.49,2,2.47,1,1.23,41011
41,13,88,6,6.82,10,11.36,9,10.23,7,7.95,55,62.5,1,1.14,0,0.0,41013
41,15,78,5,6.41,12,15.38,12,15.38,6,7.69,42,53.85,0,0.0,1,1.28,41015
41,17,135,13,9.63,18,13.33,13,9.63,15,11.11,68,50.37,4,2.96,4,2.96,41017
41,18,94,8,8.51,20,21.28,13,13.83,10,10.64,35,37.23,6,6.38,2,2.13,41018
