ward,precinct,total,"Kenneth """"Ken"""" Dunkin","Kenneth """"Ken"""" Dunkin Percent",precinct_id
2,1,167,167,100.0,02001
2,11,78,78,100.0,02011
2,14,264,264,100.0,02014
2,20,4,4,100.0,02020
2,22,263,263,100.0,02022
2,31,62,62,100.0,02031
2,35,36,36,100.0,02035
2,43,189,189,100.0,02043
2,49,97,97,100.0,02049
2,54,143,143,100.0,02054
2,55,32,32,100.0,02055
2,58,58,58,100.0,02058
2,59,163,163,100.0,02059
3,1,110,110,100.0,03001
3,3,93,93,100.0,03003
3,4,55,55,100.0,03004
3,6,78,78,100.0,03006
3,8,24,24,100.0,03008
3,9,52,52,100.0,03009
3,11,67,67,100.0,03011
3,14,72,72,100.0,03014
3,15,129,129,100.0,03015
3,17,96,96,100.0,03017
3,18,108,108,100.0,03018
3,19,16,16,100.0,03019
3,20,8,8,100.0,03020
3,22,94,94,100.0,03022
3,23,17,17,100.0,03023
3,24,108,108,100.0,03024
3,25,17,17,100.0,03025
3,26,100,100,100.0,03026
3,27,5,5,100.0,03027
3,28,58,58,100.0,03028
3,29,107,107,100.0,03029
3,32,91,91,100.0,03032
3,33,160,160,100.0,03033
3,35,106,106,100.0,03035
3,36,71,71,100.0,03036
3,37,64,64,100.0,03037
3,38,35,35,100.0,03038
3,40,114,114,100.0,03040
3,41,121,121,100.0,03041
3,42,91,91,100.0,03042
3,43,66,66,100.0,03043
3,45,46,46,100.0,03045
3,47,88,88,100.0,03047
3,49,31,31,100.0,03049
3,53,106,106,100.0,03053
3,54,100,100,100.0,03054
3,57,157,157,100.0,03057
3,59,57,57,100.0,03059
3,60,117,117,100.0,03060
3,61,18,18,100.0,03061
3,62,75,75,100.0,03062
3,63,66,66,100.0,03063
4,6,80,80,100.0,04006
11,14,140,140,100.0,11014
11,36,23,23,100.0,11036
11,48,0,0,0.0,11048
20,1,137,137,100.0,20001
20,3,135,135,100.0,20003
20,6,127,127,100.0,20006
20,7,83,83,100.0,20007
20,11,75,75,100.0,20011
20,14,115,115,100.0,20014
20,17,112,112,100.0,20017
20,23,142,142,100.0,20023
20,27,66,66,100.0,20027
20,31,117,117,100.0,20031
20,33,156,156,100.0,20033
20,37,99,99,100.0,20037
20,42,112,112,100.0,20042
20,46,83,83,100.0,20046
20,50,91,91,100.0,20050
25,14,62,62,100.0,25014
25,16,50,50,100.0,25016
25,18,39,39,100.0,25018
27,5,24,24,100.0,27005
27,6,86,86,100.0,27006
27,9,216,216,100.0,27009
27,12,40,40,100.0,27012
27,13,31,31,100.0,27013
27,14,70,70,100.0,27014
27,16,30,30,100.0,27016
27,20,164,164,100.0,27020
27,21,62,62,100.0,27021
27,28,108,108,100.0,27028
27,37,33,33,100.0,27037
27,39,85,85,100.0,27039
27,42,64,64,100.0,27042
27,43,93,93,100.0,27043
27,51,82,82,100.0,27051
27,52,34,34,100.0,27052
27,65,21,21,100.0,27065
27,66,72,72,100.0,27066
42,3,69,69,100.0,42003
42,4,95,95,100.0,42004
42,9,59,59,100.0,42009
42,17,91,91,100.0,42017
42,19,33,33,100.0,42019
42,20,64,64,100.0,42020
42,22,75,75,100.0,42022
42,24,13,13,100.0,42024
42,27,148,148,100.0,42027
42,32,122,122,100.0,42032
42,39,126,126,100.0,42039
42,45,84,84,100.0,42045
42,46,67,67,100.0,42046
42,49,3,3,100.0,42049
42,55,85,85,100.0,42055
42,56,73,73,100.0,42056
42,57,71,71,100.0,42057
42,58,40,40,100.0,42058
42,59,19,19,100.0,42059
42,60,58,58,100.0,42060
43,30,47,47,100.0,43030
43,51,143,143,100.0,43051
43,54,83,83,100.0,43054
43,55,86,86,100.0,43055
43,60,38,38,100.0,43060
43,61,60,60,100.0,43061
43,63,61,61,100.0,43063
