ward,precinct,total,Robert S. Molaro,Robert S. Molaro Percent,precinct_id
13,4,40,40,100.0,13004
23,1,191,191,100.0,23001
23,2,284,284,100.0,23002
23,3,168,168,100.0,23003
23,4,182,182,100.0,23004
23,7,40,40,100.0,23007
23,8,195,195,100.0,23008
23,11,186,186,100.0,23011
23,12,160,160,100.0,23012
23,13,221,221,100.0,23013
23,14,3,3,100.0,23014
23,15,138,138,100.0,23015
23,16,242,242,100.0,23016
23,17,221,221,100.0,23017
23,18,110,110,100.0,23018
23,19,175,175,100.0,23019
23,20,163,163,100.0,23020
23,21,137,137,100.0,23021
23,22,174,174,100.0,23022
23,23,156,156,100.0,23023
23,26,186,186,100.0,23026
23,27,122,122,100.0,23027
23,28,158,158,100.0,23028
23,30,166,166,100.0,23030
23,34,130,130,100.0,23034
23,35,129,129,100.0,23035
23,36,235,235,100.0,23036
23,37,94,94,100.0,23037
23,38,137,137,100.0,23038
23,39,133,133,100.0,23039
23,40,160,160,100.0,23040
23,42,145,145,100.0,23042
23,43,207,207,100.0,23043
23,44,214,214,100.0,23044
23,45,186,186,100.0,23045
23,46,215,215,100.0,23046
23,47,206,206,100.0,23047
23,48,151,151,100.0,23048
23,49,202,202,100.0,23049
23,52,214,214,100.0,23052
23,54,273,273,100.0,23054
23,55,197,197,100.0,23055
23,56,141,141,100.0,23056
